season,team_code,team_name,team_link,team_img
2004,CIB,Cibona VIP,https://www.euroleague.net/competition/teams/showteam?clubcode=CIB&seasoncode=E2004,https://www.euroleague.net/rs/14543/5fae8dff-b186-4e7f-a158-c16e8e479736/528/filename/5fa.png
2004,FOR,Climamio Bologna,https://www.euroleague.net/competition/teams/showteam?clubcode=FOR&seasoncode=E2004,https://www.euroleague.net/rs/14470/5fae8dff-b186-4e7f-a158-c16e8e479736/433/filename/5fa.png
2004,CSK,CSKA Moscow,https://www.euroleague.net/competition/teams/showteam?clubcode=CSK&seasoncode=E2004,https://www.euroleague.net/rs/a359ywvf43as6tee/5fae8dff-b186-4e7f-a158-c16e8e479736/777/filename/5fa.png
2004,IST,Efes Pilsen,https://www.euroleague.net/competition/teams/showteam?clubcode=IST&seasoncode=E2004,https://www.euroleague.net/rs/a35a6anofpgn5wca/5fae8dff-b186-4e7f-a158-c16e8e479736/7d6/filename/5fa.png
2004,BAR,FC Barcelona,https://www.euroleague.net/competition/teams/showteam?clubcode=BAR&seasoncode=E2004,https://www.euroleague.net/rs/a35abupuatwppttd/5fae8dff-b186-4e7f-a158-c16e8e479736/4a4/filename/5fa.png
2004,TEL,Maccabi Elite,https://www.euroleague.net/competition/teams/showteam?clubcode=TEL&seasoncode=E2004,https://www.euroleague.net/rs/a35apnp9acakcpfc/5fae8dff-b186-4e7f-a158-c16e8e479736/658/filename/5fa.png
2004,SIE,Montepaschi Siena,https://www.euroleague.net/competition/teams/showteam?clubcode=SIE&seasoncode=E2004,https://www.euroleague.net/rs/14529/5fae8dff-b186-4e7f-a158-c16e8e479736/60d/filename/5fa.png
2004,OLY,Olympiacos,https://www.euroleague.net/competition/teams/showteam?clubcode=OLY&seasoncode=E2004,https://www.euroleague.net/rs/a35arljanoudh995/5fae8dff-b186-4e7f-a158-c16e8e479736/c8c/filename/5fa.png
2004,FRA,Opel Skyliners,https://www.euroleague.net/competition/teams/showteam?clubcode=FRA&seasoncode=E2004,https://www.euroleague.net/rs/33634/5fae8dff-b186-4e7f-a158-c16e8e479736/4c9/filename/5fa.jpg
2004,PAN,Panathinaikos,https://www.euroleague.net/competition/teams/showteam?clubcode=PAN&seasoncode=E2004,https://www.euroleague.net/rs/a35atgy4e3u3txqh/5fae8dff-b186-4e7f-a158-c16e8e479736/c20/filename/5fa.png
2004,PAR,Partizan,https://www.euroleague.net/competition/teams/showteam?clubcode=PAR&seasoncode=E2004,https://www.euroleague.net/rs/a35cbqti3cm45opg/5fae8dff-b186-4e7f-a158-c16e8e479736/a2c/filename/5fa.png
2004,PAU,Pau-Orthez,https://www.euroleague.net/competition/teams/showteam?clubcode=PAU&seasoncode=E2004,https://www.euroleague.net/rs/562/5fae8dff-b186-4e7f-a158-c16e8e479736/918/filename/5fa.jpg
2004,SOP,Prokom Trefl Sopot,https://www.euroleague.net/competition/teams/showteam?clubcode=SOP&seasoncode=E2004,https://www.euroleague.net/rs/a35bi4yocnc9jg9d/5fae8dff-b186-4e7f-a158-c16e8e479736/cf4/filename/5fa.png
2004,MAD,Real Madrid,https://www.euroleague.net/competition/teams/showteam?clubcode=MAD&seasoncode=E2004,https://www.euroleague.net/rs/a35av98vefmmr3gt/5fae8dff-b186-4e7f-a158-c16e8e479736/154/filename/5fa.png
2004,PES,Scavolini Pesaro,https://www.euroleague.net/competition/teams/showteam?clubcode=PES&seasoncode=E2004,https://www.euroleague.net/rs/19161/5fae8dff-b186-4e7f-a158-c16e8e479736/938/filename/5fa.png
2004,BAS,Tau Ceramica,https://www.euroleague.net/competition/teams/showteam?clubcode=BAS&seasoncode=E2004,https://www.euroleague.net/rs/a35alqtlytg7rvt7/5fae8dff-b186-4e7f-a158-c16e8e479736/cf3/filename/5fa.png
2004,ULK,Ulker,https://www.euroleague.net/competition/teams/showteam?clubcode=ULK&seasoncode=E2004,https://www.euroleague.net/rs/a35ahld7vsu3xrgt/5fae8dff-b186-4e7f-a158-c16e8e479736/f9e/filename/5fa.png
2004,MAL,Unicaja,https://www.euroleague.net/competition/teams/showteam?clubcode=MAL&seasoncode=E2004,https://www.euroleague.net/rs/a35cod7jmruy8e8y/5fae8dff-b186-4e7f-a158-c16e8e479736/737/filename/5fa.png
2004,LJU,Union Olimpija,https://www.euroleague.net/competition/teams/showteam?clubcode=LJU&seasoncode=E2004,https://www.euroleague.net/rs/a35blsmch9dkl358/5fae8dff-b186-4e7f-a158-c16e8e479736/367/filename/5fa.png
